Id,Nome,R,Sq,QtA,FVM,n_stagioni,trend,deltaFM_recente,PV_medie,FM_23_24,FM_24_25,FM_25_26,tier_23_24,tier_24_25,tier_25_26
6039,Cabal,D,Juventus,6,9,3,crescente,0.82,11.7,5.68,6.08,6.5,D,,A
5620,Tavares N.,D,Lazio,6,18,2,calante,-0.77,22,,6.48,5.71,,A,D
5527,Zanoli,D,Udinese,6,12,3,crescente,0.2,21.7,5.58,5.98,6.18,D,D,B
5010,Ismajli,D,Torino,6,14,3,altalenante,-0.25,26,5.76,6.19,5.94,D,B,C
5555,Kamara H.,D,Udinese,6,15,3,stabile,-0.17,29,6.0,6.05,5.88,C,C,C
5532,Bradaric,D,Verona,6,11,3,stabile,0.14,30,5.69,5.72,5.86,D,D,D
6230,Dossena,D,Cagliari,5,8,3,calante,-0.25,23,5.97,5.89,5.64,C,D,D
6896,Van Der Brempt,D,Como,5,8,2,stabile,-0.15,16,,6.11,5.96,,C,C
5603,Pongracic,D,Fiorentina,5,12,3,stabile,-0.01,29.7,5.86,5.72,5.71,D,D,D
513,Acerbi,D,Inter,5,10,3,calante,-0.2,22.3,6.55,6.17,5.97,A,C,C
5831,Gatti,D,Juventus,5,8,3,stabile,0.0,25.3,6.08,6.25,6.25,C,B,B
2728,Pellegrini Lu.,D,Lazio,5,9,3,stabile,-0.39,20.3,5.74,6.08,5.69,D,C,D
6990,Veiga D.,D,Lecce,5,13,2,stabile,-0.06,23,,5.8,5.74,,D,D
4401,Gabbia,D,Milan,5,14,3,calante,-0.34,23.7,6.35,6.18,5.84,B,B,D
5840,Olivera,D,Napoli,5,14,3,stabile,-0.24,25.7,5.8,5.97,5.73,D,D,D
5307,Valenti,D,Parma,5,10,2,stabile,-0.14,23.5,,5.88,5.74,,D,D
4374,Walukiewicz,D,Sassuolo,5,12,3,stabile,0.04,29.7,5.63,5.68,5.72,D,D,D
5994,Ebosse,D,Torino,5,7,2,dato singolo,,6,0.0,5.25,5.72,,,D
697,Cuadrado,D,Pisa,5,8,3,stabile,-0.01,15.3,6.2,6.1,6.09,B,C,C
7018,Nelsson,D,Verona,5,11,2,dato singolo,,21,,6.0,5.63,,,D
6916,Ahanor,D,Atalanta,4,10,2,dato singolo,,13.5,,6.0,5.69,,,D
770,Pezzella Giu.,D,Cremonese,4,10,3,altalenante,-0.38,27,5.4,5.93,5.55,D,D,D
6495,Comuzzo,D,Fiorentina,4,11,3,calante,-0.29,18,5.75,6.02,5.73,,C,D
256,Juan Jesus,D,Napoli,4,10,3,stabile,-0.29,19.7,5.65,5.88,5.59,D,D,D
5481,Mazzocchi,D,Napoli,4,7,3,stabile,0.14,14.7,5.56,5.7,5.83,D,D,
5851,Doig,D,Sassuolo,4,10,2,stabile,0.1,27.5,5.62,,5.72,D,,D
4385,Lazaro,D,Torino,4,11,3,calante,-0.46,30.3,6.03,6.08,5.62,C,C,D
6992,Oyegoke,D,Verona,4,4,2,dato singolo,,6.5,,5.5,5.55,,,D
6665,Coulibaly W.,D,Sassuolo,4,4,2,crescente,0.29,16,,5.46,5.75,,D,D
487,De Silvestri,D,Bologna,3,8,3,calante,-0.19,12.7,6.62,6.09,5.9,A,C,C
791,Sabelli,D,Genoa,3,10,3,stabile,-0.26,25,5.91,5.95,5.69,C,D,D
322,De Vrij,D,Inter,3,9,3,stabile,0.14,17.3,6.41,6.55,6.0,B,A,
2525,Darmian,D,Inter,3,8,3,stabile,-0.02,21.3,6.31,6.29,5.92,B,B,
327,Patric,D,Lazio,3,10,3,calante,-0.53,13,6.26,5.78,5.73,B,,D
2263,Lazzari,D,Lazio,3,9,3,stabile,-0.17,21.3,5.69,5.85,5.68,D,D,D
6809,Marianucci,D,Torino,3,8,2,stabile,0.0,12,,5.73,5.73,,D,D
6211,Zemura,D,Udinese,3,8,3,stabile,-0.22,19.3,5.93,6.0,5.78,C,C,D
6957,Valentini N.,D,Verona,3,8,2,stabile,-0.15,16.5,,5.57,5.42,,D,D
6149,Carboni F.,D,Parma,3,4,2,dato singolo,,2.3,0.0,5.6,5.75,,,
2653,Lykogiannis,D,Bologna,2,10,3,calante,-0.27,14.7,6.36,6.09,5.61,B,C,
6977,Otoa,D,Genoa,2,9,2,dato singolo,,6.5,,4.67,5.4,,,D
294,Rugani,D,Fiorentina,2,10,2,dato singolo,,7.3,6.46,0.0,5.5,A,,
6632,Gaspar K.,D,Lecce,2,10,2,calante,-0.44,22.5,,6.06,5.62,,C,D
6883,Jean,D,Lecce,2,3,2,dato singolo,,11.5,,5.83,5.7,,D,
252,Biraghi,D,Torino,2,5,3,calante,-0.2,20,6.07,5.93,5.73,C,D,D
