Id,Nome,Sq,PV,MV,FM,Gf,Gs,RigSegnati,RigTirati,RigParati,Assist,Amm,Esp
6658,Gioacchini,COM,0,0.0,0.0,0,0,0,0,0,0,0,0
6651,Chiorra,EMP,0,0.0,0.0,0,0,0,0,0,0,0,0
673,Perisan,EMP,0,0.0,0.0,0,0,0,0,0,0,0,0
5450,Stojanovic,EMP,0,0.0,0.0,0,0,0,0,0,0,0,0
6203,Belardinelli,EMP,0,0.0,0.0,0,0,0,0,0,0,0,0
6009,Degli Innocenti,EMP,0,0.0,0.0,0,0,0,0,0,0,0,0
6395,Shpendi S.,EMP,0,0.0,0.0,0,0,0,0,0,0,0,0
2819,Caputo,EMP,0,0.0,0.0,0,0,0,0,0,0,0,0
6403,Christensen O.,FIO,0,0.0,0.0,0,0,0,0,0,0,0,0
6184,Martinelli T.,FIO,0,0.0,0.0,0,0,0,0,0,0,0,0
6659,Lucchesi,VEN,0,0.0,0.0,0,0,0,0,0,0,0,0
5336,Nzola,FIO,0,0.0,0.0,0,0,0,0,0,0,0,0
1926,Di Gennaro,INT,0,0.0,0.0,0,0,0,0,0,0,0,0
1930,Pinsoglio,JUV,0,0.0,0.0,0,0,0,0,0,0,0,0
294,Rugani,JUV,0,0.0,0.0,0,0,0,0,0,0,0,0
5533,Djalo',JUV,0,0.0,0.0,0,0,0,0,0,0,0,0
4711,Kostic,JUV,0,0.0,0.0,0,0,0,0,0,0,0,0
2002,Chiesa,JUV,0,0.0,0.0,0,0,0,0,0,0,0,0
2012,Milik,JUV,0,0.0,0.0,0,0,0,0,0,0,0,0
6417,Furlanetto,LAZ,0,0.0,0.0,0,0,0,0,0,0,0,0
2401,Fruchtl,LEC,0,0.0,0.0,0,0,0,0,0,0,0,0
6523,Samooja,LEC,0,0.0,0.0,0,0,0,0,0,0,0,0
5873,Listkowski,LEC,0,0.0,0.0,0,0,0,0,0,0,0,0
6645,Marchwinski,LEC,0,0.0,0.0,0,0,0,0,0,0,0,0
6505,Nava,MIL,0,0.0,0.0,0,0,0,0,0,0,0,0
2178,Cragno,MON,0,0.0,0.0,0,0,0,0,0,0,0,0
5853,Sorrentino A.,MON,0,0.0,0.0,0,0,0,0,0,0,0,0
2737,Bettella,MON,0,0.0,0.0,0,0,0,0,0,0,0,0
666,Machin,MON,0,0.0,0.0,0,0,0,0,0,0,0,0
2845,Contini,NAP,0,0.0,0.0,0,0,0,0,0,0,0,0
6396,Natan,NAP,0,0.0,0.0,0,0,0,0,0,0,0,0
142,Mario Rui,NAP,0,0.0,0.0,0,0,0,0,0,0,0,0
6402,Cajuste,NAP,0,0.0,0.0,0,0,0,0,0,0,0,0
6439,Cheddira,NAP,0,0.0,0.0,0,0,0,0,0,0,0,0
4661,Osimhen,NAP,0,0.0,0.0,0,0,0,0,0,0,0,0
6662,Corvi,PAR,0,0.0,0.0,0,0,0,0,0,0,0,0
